3140
qstr_Next_Page Next_Page
qstr_The_life_of_a_healer The_life_of_a_healer_can_be_difficult._When_a_powerful_but_gravely_ill_patient_passes_away_unexpectedly,_his_sons_declared_'Kan_Devasi'_on_you,_believing_that_you_were_responsible_for_his_death._Knowing_that_they_will_not_stop_until_you_are_dead,_you_elect_to_leave_Barclay_and_start_life_again_in_the_lands_of_Pendor...
qstr_The_life_of_a_mercha The_life_of_a_merchant_can_be_trying._When_a_powerful_leader_of_the_local_Red_Brotherhood_decided_that_you_are_in_the_way_of_his_success,_he_broke_brotherhood_rules_and_began_a_campaign_to_drive_you_out_of_business._After_a_significant_loss_of_coin_and_the_deaths_of_most_of_your_guards,_you_deem_it_wise_to_leave_Barclay_on_the_next_ship,_which_happens_to_be_bound_for_Pendor...
qstr_The_life_of_an_engin The_life_of_an_engineer_can_be_trying._When_a_powerful_leader_of_the_local_Red_Brotherhood_decided_that_you_are_in_the_way_of_his_plans_and_put_a_bounty_on_your_head,_life_swiftly_became_unpleasant._Luckily,_some_fast_talking_at_the_right_time_allowed_you_to_slip_past_his_thugs._You_deem_it_wise_to_leave_Barclay_while_you_can,_and_so_you_book_passage_on_the_next_ship,_which_happens_to_be_bound_for_Pendor...
qstr_After_capturing_a_da After_capturing_a_dangerous_fugitive_for_the_local_sheriff,_you_were_forced_to_kill_him_as_he_tried_to_escape._Unfortunately,_the_criminal's_brothers,_all_of_them_associated_with_the_Red_Brotherhood,_did_not_take_this_well_and_combined_their_efforts_towards_avenging_their_sibling._You_know_it_is_only_a_matter_of_time_before_you_will_be_killed_by_one_of_them,_so_you_decide_that_it_wise_to_leave_Barclay_on_the_next_ship,_which_happens_to_be_bound_for_Pendor...
qstr_The_letter_reads____ The_letter_reads_-_'My_{s14},_I_am_proud_of_the_{s16}_you_have_become._It_is_with_a_heavy_heart_that_I_must_tell_you_that_your_path_in_life_was_dictated_to_you_the_moment_you_were_born._You_see,_my_{s14},_your_mother_is_of_ancient_noble_lineage,_and_in_your_veins_flows_the_blood_of_the_old_Kings_of_Pendor._We_fled_Pendor_all_those_years_ago_not_because_our_house_and_fortunes_were_lost_or_displaced,_but_because_we_feared_discovery_by_dark_and_evil_powers_who_would_end_the_true_line_of_Pendor._Be_warned,_my_{s14},_there_are_those_who_are_actively_seeking_your_death,_and_with_your_demise_the_line_of_heirs_to_the_silver_throne_of_Pendor_will_be_broken_forever._Forgive_us_for_not_telling_you_this_sooner._Those_that_suspect_that_you_and_your_mother_live_are_here,_in_Barclay,_and_are_seeking_your_location_with_fell_intent._Your_mother_and_I_have_gone_into_hiding,_but_there_are_assassins_-_and_worse_-_that_are_even_now_searching_for_you._Take_Heed!_My_advice_is_to_leave_Barclay_as_soon_as_possible_and_sail_to_Pendor._There_you_will_find_dangers,_but_you_may_also_find_answers,_and_with_any_luck_you,_or_your_sons_or_daughters,_may_be_able_to_reclaim_that_which_was_lost._In_any_case,_be_well,_my_{s14},_and_be_safe_in_your_travels._Sincerely_-_Your_Father'_And_so,_heart_heavy_and_head_spinning,_you_set_sail_for_Pendor...
qstr_The_letter_reads____M The_letter_reads_-_'My_{s14},_I_am_proud_of_the_{s16}_you_have_become._It_is_with_a_heavy_heart_that_I_must_tell_you_that_your_path_in_life_was_dictated_to_you_the_moment_you_were_born._You_see,_my_{s14},_your_mother_is_of_ancient_noble_lineage,_and_in_your_veins_flows_the_blood_of_the_old_Kings_of_Pendor._We_fled_Pendor_all_those_years_ago_because_your_mother_feared_discovery_by_dark_and_evil_powers_who_would_end_the_true_line_of_Pendor._Be_warned,_my_{s14},_there_are_those_who_are_actively_seeking_your_death,_and_with_your_demise_the_line_of_heirs_to_the_silver_throne_of_Pendor_will_be_broken_forever._Forgive_us_for_not_telling_you_this_sooner._Those_that_suspect_that_you_and_your_mother_live_are_here,_in_Barclay,_and_are_seeking_your_location_with_fell_intent._Your_mother_and_I_have_gone_into_hiding,_but_there_are_assassins_-_and_worse_-_that_are_even_now_searching_for_you._Take_Heed!_My_advice_is_to_leave_Barclay_as_soon_as_possible_and_sail_to_Pendor._There_you_will_find_dangers,_but_you_may_also_find_answers,_and_with_any_luck_you,_or_your_sons_or_daughters,_may_be_able_to_reclaim_that_which_was_lost._In_any_case,_be_well,_my_{s14},_and_be_safe_in_your_travels._Sincerely_-_Your_Father'_And_so,_heart_heavy_and_head_spinning,_you_set_sail_for_Pendor...
qstr_The_letter_reads____My The_letter_reads_-_'My_{s14},_I_am_proud_of_the_{s16}_you_have_become._It_is_with_a_heavy_heart_that_I_must_tell_you_that_your_path_in_life_was_dictated_to_you_the_moment_you_were_born._You_see,_my_{s14},_your_mother_is_of_ancient_noble_lineage,_and_in_your_veins_flows_the_blood_of_the_old_Kings_of_Pendor._I_first_met_your_mother_as_she_was_fleeing_dark_and_evil_forces_who_sought_to_end_the_true_line_of_Pendor,_and_we_fled_Pendor_all_those_years_ago_because_we_feared_discovery._Be_warned,_my_{s14},_there_are_those_who_are_actively_seeking_your_death,_and_with_your_demise_the_line_of_heirs_to_the_silver_throne_of_Pendor_will_be_broken_forever._Forgive_us_for_not_telling_you_this_sooner._Those_that_suspect_that_you_and_your_mother_live_are_here,_in_Barclay,_and_are_seeking_your_location_with_fell_intent._Your_mother_and_I_have_gone_into_hiding,_but_there_are_assassins_-_and_worse_-_that_are_even_now_searching_for_you._Take_Heed!_My_advice_is_to_leave_Barclay_as_soon_as_possible_and_sail_to_Pendor._There_you_will_find_dangers,_but_you_may_also_find_answers,_and_with_any_luck_you,_or_your_sons_or_daughters,_may_be_able_to_reclaim_that_which_was_lost._In_any_case,_be_well,_my_{s14},_and_be_safe_in_your_travels._Sincerely_-_Your_Father'_And_so,_heart_heavy_and_head_spinning,_you_set_sail_for_Pendor...
qstr_The_letter_reads____My_ The_letter_reads_-_'My_{s14},_I_am_proud_of_the_{s16}_you_have_become._It_is_with_a_heavy_heart_that_I_must_tell_you_that_your_path_in_life_was_dictated_to_you_the_moment_you_were_born._You_see,_my_{s14},_your_mother_was_of_ancient_noble_lineage,_and_in_your_veins_flows_the_blood_of_the_old_Kings_of_Pendor._I_was_hired_to_find_and_kill_her_for_precisely_that_reason._When_I_found_her_after_years_of_searching,_she_was_near_death_and_you_were_swaddled_in_her_arms._I_did_not_have_it_in_me_to_end_her_life,_much_less_yours._My_healing_arts_were_not_sufficient_to_save_her,_so_I_made_it_look_as_if_I_had_killed_her,_collected_the_reward_and_then_disappeared_to_raise_you._I_do_not_ask_your_forgiveness,_only_your_understanding_that_sometimes_a_man_is_forced_down_a_path_not_of_his_choosing._I_know_first-hand_that_there_are_those_who_are_seeking_you_to_end_your_life,_as_I_have_now_come_across_those_who_seek_to_kill_me_for_my_failure_to_take_your_life_as_an_infant._I_have_dealt_with_one_initial_group_looking_for_us_here_in_Barclay,_and_have_wounds_to_heal_for_my_trouble._I_know_there_are_many_more_out_there,_and_that_they_will_not_stop_until_both_of_us_are_dead._I_have_gone_into_hiding;_my_part_in_your_life_is_done,_so_do_not_try_to_find_me._Take_heed!_My_advice_is_to_leave_Barclay_as_soon_as_possible_and_sail_to_Pendor._In_any_case,_be_well_and_be_safe_in_your_travels._Regards-'__And_so,_heart_heavy_and_head_spinning,_you_set_sail_for_Pendor...
qstr_The_letter_reads____My_{ The_letter_reads_-_'My_{s14},_I_am_proud_of_the_{s16}_you_have_become._It_is_with_a_heavy_heart_that_I_must_tell_you_that_your_path_in_life_was_dictated_to_you_the_moment_you_were_born._You_see,_my_{s14},_your_mother_and_I_are_not_your_real_parents._You_came_to_us_when_you_were_a_newborn,_from_a_noblewoman_fleeing_for_her_life_from_Pendor._She_was_fearful_that_her_time_was_limited,_and_did_not_want_you_to_share_her_fate._She_told_us_she_was_of_ancient_noble_lineage,_the_great-grandchild_of_the_only_true_surviving_member_of_the_royal_Pendorian_line_of_Kings._After_she_gave_you_to_us_we_found_her_along_the_road_the_next_day_near_death,_having_been_stabbed_multiple_times._Our_healing_arts_were_not_sufficient_to_save_her,_so_we_buried_her_at_the_local_church_and_took_you_in_as_if_you_were_our_child._We_are_sorry_we_did_not_tell_you_this_before,_and_ask_your_understanding_that_what_we_have_done_was_for_your_own_protection._We_tell_you_this_now_as_we_fear_that_those_who_took_your_mother's_life_have_returned._We_have_been_followed,_and_have_heard_of_hooded_men_asking_questions_about_our_travels_and_our_routes._More_concerning_are_the_questions_they_ask_about_you_and_your_age._We_fear_that_they_mean_you_harm_or_worse._We_have_gone_into_hiding_and_feel_that_we_will_be_safe._However,_you_should_not_stay_in_Barclay._Flee!_Flee_to_the_lands_of_Pendor_and_seek_answers._In_any_case,_be_well_and_be_safe_in_your_travels._With_love_always_-_you_will_always_be_our_{s14}_-_Your_Father'__And_so,_heart_heavy_and_head_spinning,_you_set_sail_for_Pendor...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{s2}^{s4}:_Econ:_{re {s2}^{s4}:_Econ:_{reg1}_-_Prosperity:_{reg2}_{s50}_
qstr_Currently_no_locatio Currently_no_locations_owned.
qstr_The_current_fief_inc The_current_fief_income_is:_^{s2}
qstr_{s2}^{s4}:_{s10}_in_ {s2}^{s4}:_{s10}_in_{reg8}_{reg10?day:hour}{reg9?s:}.
qstr_{s2}^{s4}:_Building_ {s2}^{s4}:_Building_{s10}_in_{reg8}_{reg10?day:hour}{reg9?s:}.
qstr_{s2}^{s4}:_No_constr {s2}^{s4}:_No_construction.
qstr_Current_construction Current_construction_at_your_fiefs:_^{s2}
qstr_Long_Forgotten Long_Forgotten
qstr_Defending_the_King_s Defending_the_King's_Honor
qstr_The_Dragon_s_Fire_Gr The_Dragon's_Fire_Grows_Cold
qstr_The_Windriders_bow_t The_Windriders_bow_to_the_Gale
qstr_The_Shieldwall_is_Pi The_Shieldwall_is_Pierced
qstr_The_Emperor_s_Will_i The_Emperor's_Will_is_Weak
qstr_A_Fledgeling_Hope_fo A_Fledgeling_Hope_for_Pendor
qstr_Very_Weak Very_Weak
qstr_Resisting_in_the_Kin Resisting_in_the_King's_Name
qstr_The_Dragon_s_Wings_a The_Dragon's_Wings_are_Clipped
qstr_The_Windriders_fear_ The_Windriders_fear_the_Wind
qstr_The_Shieldwall_Buckl The_Shieldwall_Buckles
qstr_The_Emperor_s_Will_W The_Emperor's_Will_Wavers
qstr_Promising_Madigan_s_ Promising_Madigan's_Dream
qstr_Weak Weak
qstr_Strong_under_the_Kin Strong_under_the_King's_Banner
qstr_The_Dragon_is_Defian The_Dragon_is_Defiant_in_the_North
qstr_The_Windriders_are_F The_Windriders_are_Fiercely_United
qstr_The_Shieldwall_Holds The_Shieldwall_Holds
qstr_The_Emperor_s_Will_is The_Emperor's_Will_is_Law
qstr_Fulfilling_the_Proph Fulfilling_the_Prophecy
qstr_{s6}^The_{s1}:_{s2} {s6}^The_{s1}:_{s2}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_Training_your_Order_ Training_your_Order_troops.
qstr_On_loan On_loan,
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr__{s9}_^^_You_have_th _{s9}_^^_You_have_the_ability_to_train_Knights_of_the_Griffon_due_to_your_clear_birthright.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{!}{s5}_{s6} {!}{s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_Honorary_Grandmaster Honorary_Grandmaster
qstr_{s8}__{reg1}_ {s8}_({reg1})
qstr_You_are_a_{s8}_of_th You_are_a_{s8}_of_the_Order_of_the_{s12}.^{s9}
qstr_You_are_the_sovereig You_are_the_sovereign_{reg63?King:Queen}_of_the_{s8},_embracing_the_culture_of_{s7}.^{s9}_^_You_have_{reg1}_Noble_Recruits.
qstr_You_are_a_lord_of_th You_are_a_lord_of_the_{s8}.^{s9}_^_You_have_{reg1}_Noble_Recruits.
qstr_You_are_a_Rogue_Lead You_are_a_Rogue_Leader_of_the_{s8}.^{s9}
qstr_You_are_a_Mercenary_ You_are_a_Mercenary_Captain_in_the_service_of_the_{s8}.^{s9}
qstr_You_are_a_Mercenary_C You_are_a_Mercenary_Captain.^_{s9}
qstr_{s9}_^_You_won_{reg3 {s9}_^_You_won_{reg33}_Noldor_Tournament.
qstr_{s9}_^_You_won_{reg33 {s9}_^_You_won_{reg33}_Noldor_Tournaments.
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+10^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_{s2}^The_{s4}:_{reg1 {s2}^The_{s4}:_{reg1}_({s33})
qstr_{s2}^ {s2}^
qstr_{s2}^{s4}:_{reg1}__{ {s2}^{s4}:_{reg1}_({s33})
qstr_Your_relations_with_ Your_relations_with_the_factions_are:^{s2}
qstr_Your_relations_with_t Your_relations_with_the_Orders_are:^{s2}
qstr_6_new_units_joined_t 6_new_units_joined_the_party
qstr_1_million_xp_receive 1_million_xp_received
qstr_Companion_complaints Companion_complaints_are_disabled
qstr_Companion_complaints_ Companion_complaints_are_enabled
qstr_Cheat_mode_has_been_ Cheat_mode_has_been_disabled
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_GM_quest_ready:_talk GM_quest_ready:_talk_to_the_{s12}_for_a_surprise.
qstr_Report_back_to_the_O Report_back_to_the_Order_with_your_findings_about_Cult_activity_near_{s8}.
qstr_Random_order_of_the_ Random_order_of_the_{s12}_created_in_Kennet_Castle._100_{s13}s_recruited.
qstr_Random_order_of_the_{ Random_order_of_the_{s12}_created_in_{s14}._5_{s13}s_recruited.
qstr_Noldor_castle_access Noldor_castle_accessible
qstr_Noldor_relation_set_ Noldor_relation_set_to_30
qstr_OFF OFF
qstr_Standard Standard
qstr_Special Special
qstr_Economy Economy
qstr_Politics Politics
qstr_ERROR ERROR
qstr_Your_{s12}_have_acqu Your_{s12}_have_acquired_new_{s11}!
qstr_10_Order_Knights_and 10_Order_Knights_and_10_Order_Squires_joined_the_party
qstr_{s4}:_{reg0} {s4}:_{reg0}
qstr_##_{s9}_average_stre ##_{s9}_average_strength:_{reg1}
qstr_####_Overall_average ####_Overall_average_strength:_{reg1}
qstr_{s4}:_strength_{reg0 {s4}:_strength_{reg0}
qstr_Limits_set_to_0_0! Limits_set_to_0-0!
qstr_Limits_set_to_50_50! Limits_set_to_50-50!
qstr_Limits_set_to_100_10 Limits_set_to_100-100!
qstr_The_Hundred The_Hundred
qstr_The_Hundred_are_upon The_Hundred_are_upon_you!
qstr_You_have_now_made_en You_have_now_made_enemies_with_all_lords_and_all_orders..._visit_some_taverns_now..._
qstr_Daughter_waiting_to_ Daughter_waiting_to_be_rescued,_talk_to_a_village_elder.
qstr_Peasants_waiting_to_ Peasants_waiting_to_be_escorted,_talk_to_a_village_elder.
qstr_Bounties_await_talk_ Bounties_await,_talk_to_a_friendly_Order_guard.
qstr_Prices_reset. Prices_reset.
qstr_Grain_price_in_{s4}: Grain_price_in_{s4}:_{reg1}_U_{reg2}_{reg3}_{reg4}_A_{reg5}_{reg6}.
qstr_Bread_price_in_{s4}: Bread_price_in_{s4}:_{reg1}_U_{reg2}_{reg3}_{reg4}_A_{reg5}_{reg6}.
qstr_Villages_per_town:_m Villages_per_town:_market_(bound)^
qstr_{s2}^{s5}:_{reg1}__{ {s2}^{s5}:_{reg1}_({reg2})
qstr_{s2}^^Total_villages {s2}^^Total_villages:_{reg1}_(Bound:_{reg2})
qstr_{s2}^{s10}:_{reg6}__ {s2}^{s10}:_{reg6}_(Prod:{reg3}/{reg4}_Price:{reg5})
qstr_{s5}_{s3} {s5}_{s3}
qstr_Report_for_{s4}:^Eco Report_for_{s4}:^Economy:_{reg1}^Prosperity:_{reg2}[{reg4}]_{s50}^Hardship:_{reg3}^Market_villages:_{s3}^{s2}
qstr_{s2}^{s4}:_E:_{reg1} {s2}^{s4}:_E:_{reg1}_P:_{reg2}[{reg4}]_H:_{reg3}
qstr_Average_prices_in_Pe Average_prices_in_Pendor_[Prod/Cons]^
qstr_{s2}^{s10}:_{reg6}_[ {s2}^{s10}:_{reg6}_[{reg12}/{reg13}]
qstr_Noldor_relations_set Noldor_relations_set_to_30.
qstr_Noldor_relations_set_ Noldor_relations_set_to_15.
qstr_Noldor_relations_set_t Noldor_relations_set_to_-10.
qstr_Noldor_castle_accessi Noldor_castle_accessible.
qstr_Noldor_quest_reset. Noldor_quest_reset.
qstr_Noldor_tournament_st Noldor_tournament_started.
qstr_One_week_s_worth_of_ One_week's_worth_of_new_inventory_added
qstr_You_have_been_presen You_have_been_presented_with_an_exquisite_{s21}_from_the_Noldor_Council.
qstr_{s8} {s8}
qstr_Generated_quest_#{re Generated_quest_#{reg0}_in_{s4}_-_notification_pending
qstr_All_achievements_giv All_achievements_given._Check_report.
qstr_All_achievements_cle All_achievements_cleared.
qstr_Notifications_queued Notifications_queued._Should_trigger_anytime_now.
qstr_10_Dragon_troops_joi 10_Dragon_troops_joined_the_party
qstr_10_Squires_of_the_Li 10_Squires_of_the_Lion_joined_the_party
qstr_10_Empire_Mortals_jo 10_Empire_Mortals_joined_the_party
qstr_10_D_Shar_Dustriders 10_D'Shar_Dustriders_joined_the_party
qstr_10_Lady_Einherjar_jo 10_Lady_Einherjar_joined_the_party
qstr_10_Knights_of_the_Gr 10_Knights_of_the_Griffon_joined_the_party
qstr_10_Knights_and_Talon 10_Knights_and_Talons_of_the_Falcon_joined_the_party
qstr_10_Ravenspear_knight 10_Ravenspear_knights_joined_the_party
qstr_10_Radiant_Cross_Kni 10_Radiant_Cross_Knights_joined_the_party
qstr_10_Rangers_of_the_Cl 10_Rangers_of_the_Clarion_Call_joined_the_party
qstr_10_Knights_of_the_Da 10_Knights_of_the_Dawn_joined_the_party
qstr_10_Knights_of_the_Eb 10_Knights_of_the_Ebony_Gauntlet_joined_the_party
qstr_10_Shadow_Legion_Mar 10_Shadow_Legion_Marinae_joined_the_party
qstr_10_Silvermist_Ranger 10_Silvermist_Rangers_joined_the_party
qstr_10_Knights_of_Eventi 10_Knights_of_Eventide_joined_the_party
qstr_Added_Ghost_Lady Added_Ghost_Lady
qstr_100_Heroine_Adventur 100_Heroine_Adventurers_joined_the_party
qstr_100_Hero_Adventurers 100_Hero_Adventurers_joined_the_party
qstr_100_Jatu_Mercenary_R 100_Jatu_Mercenary_Riders_joined_the_party
qstr_100_Marleons_Heavy_C 100_Marleons_Heavy_Cavalry_joined_the_party
qstr_100_Ravenstern_Highl 100_Ravenstern_Highlanders_joined_the_party
qstr_100_D_Shar_Djaha_Arc 100_D'Shar_Djaha_Archers_joined_the_party
qstr_100_Fierdsvain_Berse 100_Fierdsvain_Berserkers_joined_the_party
qstr_100_Noldor_Twilight_ 100_Noldor_Twilight_Knights_joined_the_party
qstr_100_Noldor_Maiden_Ra 100_Noldor_Maiden_Rangers_joined_the_party
qstr_100_Noldor_Rangers_j 100_Noldor_Rangers_joined_the_party
qstr_100_K_Juda_s_Kajahar 100_K'Juda's_Kajahars_joined_the_party
qstr_100_Doomguides_joine 100_Doomguides_joined_the_party
qstr_100_Omen_Seekers_joi 100_Omen_Seekers_joined_the_party
qstr_A_specialty_troop_ha A_specialty_troop_has_joined_the_party
qstr_100_Dread_Legion_Inf 100_Dread_Legion_Infantry_joined_the_party
qstr_100_Anaconda_Knights 100_Anaconda_Knights_joined_the_party
qstr_100_Fallen_Revenants 100_Fallen_Revenants_joined_the_party
qstr_100_Demonic_Magni_jo 100_Demonic_Magni_joined_the_party
qstr_100_Heretic_Invokers 100_Heretic_Invokers_joined_the_party
qstr_A_Mettenheim_company A_Mettenheim_company_has_joined_your_party
qstr_A_Barclay_company_ha A_Barclay_company_has_joined_your_party
qstr_A_Veccavian_company_ A_Veccavian_company_has_joined_your_party
qstr_A_Melitine_company_h A_Melitine_company_has_joined_your_party
qstr_A_Singalian_company_ A_Singalian_company_has_joined_your_party
qstr_A_Sarleon_Company_ha A_Sarleon_Company_has_joined_the_party
qstr_A_Ravenstern_Company A_Ravenstern_Company_joined_the_party
qstr_A_D_Shar_Company_joi A_D'Shar_Company_joined_the_party
qstr_A_Fierdsvain_Company A_Fierdsvain_Company_joined_the_party
qstr_An_Empire_Company_jo An_Empire_Company_joined_the_party
qstr_A_Pendor_Company_has A_Pendor_Company_has_joined_the_party
qstr_Patrolling_Kick_Ass_ Patrolling_Kick-Ass_Knights
qstr_Eventide_Knight_Patr Eventide_Knight_Patrol_spawned
qstr_Dawn_Knight_Patrol_s Dawn_Knight_Patrol_spawned
qstr_Ebony_Knight_Patrol_ Ebony_Knight_Patrol_spawned
qstr_Vanskerries_spawned Vanskerries_spawned
qstr_Heretics_spawned Heretics_spawned
qstr_Snake_Cult_spawned Snake_Cult_spawned
qstr_Mystmountains_spawne Mystmountains_spawned
qstr_Jatu_spawned Jatu_spawned
qstr_Noldor_Patrol_spawne Noldor_Patrol_spawned
qstr_Inquisition_Army_spa Inquisition_Army_spawned
qstr_Peasant_Revolt_Army_ Peasant_Revolt_Army_spawned
qstr_Three_Seers_spawned Three_Seers_spawned
qstr_Alaric_Von_Brouhaha_ Alaric_Von_Brouhaha_spawned
qstr_Boris_the_Raven_spaw Boris_the_Raven_spawned
qstr_Burilgi_the_Usurper_ Burilgi_the_Usurper_spawned
qstr_Dread_Legion_spawned Dread_Legion_spawned
qstr_Eyegrim_the_Devourer Eyegrim_the_Devourer_spawned
qstr_Oswald_de_Fleur_spaw Oswald_de_Fleur_spawned
qstr_Sheik_Shalavan_spawn Sheik_Shalavan_spawned
qstr_Wolfbode_the_Slayer_ Wolfbode_the_Slayer_spawned
qstr_Syla_Uzas_spawned Syla_Uzas_spawned
qstr_Griffonsword_spawned Griffonsword_spawned
qstr_Kodan_Ironsword_spaw Kodan_Ironsword_spawned
qstr_Aeldarian_spawned Aeldarian_spawned
qstr_Ithilrandir_spawned Ithilrandir_spawned
qstr_K_Juda_the_Ravager_s K'Juda_the_Ravager_spawned
qstr_Warlord_Zulkar_spawn Warlord_Zulkar_spawned
qstr_Obrist_Heynrich_spaw Obrist_Heynrich_spawned
qstr_Verante_Kruus_spawne Verante_Kruus_spawned
qstr_Rufio_of_Barclay_spa Rufio_of_Barclay_spawned
qstr_Sebastokrator_Kaspax Sebastokrator_Kaspax_spawned
qstr_Holy_Inquisitor_Rasm Holy_Inquisitor_Rasmus_Devatica_spawned
qstr_Toblik_s_Veccavian_R Toblik's_Veccavian_Renegades_spawned
qstr_Heroes_are_here. Heroes_are_here.
qstr_Sarleon_lords_are_he Sarleon_lords_are_here.
qstr_Ravenstern_lords_are Ravenstern_lords_are_here.
qstr_D_Shar_lords_are_her D'Shar_lords_are_here.
qstr_Fierdsvain_lords_are Fierdsvain_lords_are_here.
qstr_Empire_lords_are_her Empire_lords_are_here.
qstr_ON ON
qstr_Evil_Twins Evil_Twins
qstr_Evil_twin_party_spaw Evil_twin_party_spawned!
qstr_Soldiers__balls_cut_ Soldiers'_balls_cut_off!
qstr_Soldiers_killed_and_ Soldiers_killed_and_ressurected!
qstr_Horse Horse
qstr_1_Handed 1-Handed
qstr_2_Handed 2-Handed
qstr_Polearm___Spear Polearm_-_Spear
qstr_Polearm___Halberd Polearm_-_Halberd
qstr_Arrows Arrows
qstr_Bolts Bolts
qstr_Shield Shield
qstr_Bow Bow
qstr_Crossbow Crossbow
qstr_Thrown Thrown
qstr_Helmet Helmet
qstr_Armor Armor
qstr_Boots Boots
qstr_Gloves Gloves
qstr_Not_used Not_used
qstr_Horse_Charge Horse_Charge
qstr_Horse_Speed Horse_Speed
qstr_Horse_Maneuver Horse_Maneuver
qstr_Horse_Armor Horse_Armor
qstr_Horse_Hitpoints Horse_Hitpoints
qstr_Swing_Damage Swing_Damage
qstr_Thrust_Damage Thrust_Damage
qstr_Weapon_Speed Weapon_Speed
qstr_Weapon_Reach Weapon_Reach
qstr_Missile_speed Missile_speed
qstr_Max_Ammo Max_Ammo
qstr_Bonus_Damage Bonus_Damage
qstr_Shield_Resistance Shield_Resistance
qstr_Shield_Speed Shield_Speed
qstr_Shield_Hitpoints Shield_Hitpoints
qstr_Shield_Coverage Shield_Coverage
qstr_Ranged_Damage Ranged_Damage
qstr_Reload_Speed Reload_Speed
qstr_Missile_Speed Missile_Speed
qstr_Body_Armor Body_Armor
qstr_Leg_Armor Leg_Armor
qstr_Head_Armor Head_Armor
qstr_Armor_Weight Armor_Weight
qstr_{s4}:_Average:_{reg0 {s4}:_Average:_{reg0},_St.dev.:_{reg1},_Count:_{reg2}
qstr_Printing_scores... Printing_scores...
qstr_{reg0}:_{s10} {reg0}:_{s10}
qstr_{reg0}._{reg1}:_{s10 {reg0}._{reg1}:_{s10}
qstr_All_20_companions_re All_20_companions_recruited
qstr_Conversation_#{reg0} Conversation_#{reg0}_chosen_out_of_{reg1}_total.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_{s18}^^_There_{reg2? {s18}^^_There_{reg2?are:is}_{reg1}_{reg2?types:type}_of_Elite_troops_present_that_cannot_be_persuaded_to_join_your_cause.
qstr_{s18}^^_There_{reg2?a {s18}^^_There_{reg2?are:is}_{reg1}_{reg2?types:type}_of_undead_troops_present_that_cannot_be_persuaded_to_join_your_cause.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_Challenge_quest_reno Challenge_quest_renown_earned_so_far:_{reg1}/{reg2}.
qstr_Renown_earned_so_far Renown_earned_so_far:_{reg1}.
qstr_You_were_victorious! You_were_victorious!
