stringsfile version 1
5057
str_no_string NO_STRING!
str_rumor_talk_snake_5 he_saw_a_drunk_man_leaving_the_tavern._Across_the_street_was_a,_um,_lady_of_questionable_virtue._The_poor_sot_walked_up_and_grabbed_her._Gave_her_a_big_kiss,_he_did._Then_the_man_just_sort_of_stiffened_and_fell_over._The_lady_looked_up,_saw_him,_and_smiled._He_swears_on_the_grave_of_his_old_dad_she_had_fangs.
str_rumor_talk_snake_6 he_said_one_came_right_into_the_tavern!_Snake_worshiper,_aye._Huge_man,_armored_in_poison_green._Big_as_day._Didn't_even_try_to_hide_those_serpent_emblems,_neither._Nah,_he_stepped_right_in_like_he_owned_the_place._'Twas_everything_he_could_do_to_hold_his_water!
str_rumor_talk_snake_7 he_said_the_Snakes_took_out_a_caravan_north_of_Ethos._A_whole_caravan!_They're_getting_bolder,_I_tell_you._One_of_the_survivors_came_through_here_yesterday._He_said_he_saw_one_of_their_knights_take_out_ten_men!_Glad_I_am_safe_here,_in_truth.
str_rumor_talk_snake_8 he_said_he'd_learned_something_about_the_Snake_ladies,_that_he_did._Did_you_know_they_can_kill_you_with_one_kiss?_Kissing,_I_tell_you!_Like_we_need_anything_else_desecrated_by_those_cretins.
str_rumor_talk_snake_9 he_heard_two_soldiers_talking._They_were_telling_stories,_right?_One_told_the_other_they_had_tangled_with_the_Cultists_again._The_other_asked,_'How_many_lost_this_time?'_'15_Legionnaires,'_was_the_answer._I_thought_they_were_joking,_right?_But_no_one_was_laughing.
str_rumor_talk_snake_10 he_said_his_mother_refuses_to_leave_the_house._She_says_she_saw_people_in_her_fields,_two_nights_back._She_could_not_see_what_they_were_doing,_but_they_lit_a_big_fire._Then_they_started_shouting_something_like_AZEE!_And_the_fire,_it_grew_tall_and_started_swaying_like_a_snake._She_has_stayed_locked_in_her_room_since!
str_rumor_talk_snake_11 he_saw_a_strange_woman_who_never_moved_her_mouth_when_she_spoke._She_was_asking_after_someone_named_{playername},_or_some_such._Said_{reg63?he:she}_was_'Chosen_of_Azi_Dahaka.'_Ye_gods,_I_would_hate_to_be_that_person.
str_rumor_talk_snake_12 he_said_the_Snake_Cult_has_been_sniffing_around_here_again._Apparently,_some_adventurer_named_{playername}_has_been_making_their_lives_difficult._Bully_for_{reg63?him:her},_but_you_never_heard_that_from_me,_right?
str_rumor_talk_snake_13 he_said_he_spied_a_group_of_odd_folks_in_the_woods._They_were_swaying_and_dancing_around_a_fire._Who_cares,_right?_But_he_said_the_fire_was_alive!_He_said_the_fire_and_smoke_coiled_around_them�_just_like_a_snake!
str_rumor_talk_snake_14 he_heard_the_cooper_say_he_had_lost_his_daughter._Then_he_said_something_about_snakes_in_the_night._I_think_he_meant_them_Anaconda_Knights._They_say_that_the_Knights_will_steal_girls_away._Not_to_ravish,_no_sir._For_the_priestesses.
str_rumor_talk_snake_15 he_heard_something_interesting_from_a_caravan_master._Seems_young_girls_have_been_disappearing_all_along_the_southern_seacoast._Folks_are_blaming_it_on_those_Snake_worshipers._They_say_the_priestesses_have_to_begin_training_young.
str_rumor_talk_snake_16 he_told_me_he_found_an_abandoned_Snake_Cult_outpost_on_his_last_journey._They_had_stripped_almost_everything_out,_but_left_a_bag_under_some_rubble._Know_what_was_in_it?_Snake_venom_and_a_baby_bottle.
str_rumor_talk_snake_17 he_told_me_that_a_huge_snake_was_spotted_in_the_hills_outside_Janos_last_month._He_said_so_many_snake_worshipers_showed_up_you_could_walk_from_Fenada_to_Chelez_on_their_heads!
str_rumor_talk_snake_18 he_said_that_if_I_was_to_ever_meet_an_adventurer_called_{playername},_I_should_warn_{reg63?him:her}_to_steer_clear_of_Empire_lands._The_Snake_Cult_has_been_searching_high_and_low_for_{reg63?him:her}.
str_rumor_talk_snake_19 he_noticed_the_charm_I_keep_to_ward_away_evil._'Keep_that_close',_he_said._'I_have_seen_snake_worshipers_outside_the_tavern_three_times_this_week._They_think_they_are_disguised,_but_I_can_spot_them_a_mile_away,_and_they_are_looking_for_someone'.
str_rumor_talk_snake_20 he_told_me_he_had_actually_camped_with_a_snake_worshiper._Said_the_guy_kept_him_up_most_of_the_night_with_stories_about_the_greatness_of_Azi_Dahaka._He_claimed_she_manifests_as_a_giant_hooded_cobra_on_stormy_nights.
str_rumor_talk_snake_21 he_told_me_that_he_had_heard_an_odd_noise_from_an_alleyway_the_other_night,_and_went_to_investigate._When_he_got_there,_all_he_found_was_on_old_cloak,_three_green_scales,_and_a_scrawled_note_saying_{playername}.
str_rumor_talk_snake_22 he_said_he_had_not_heard_from_his_cousin_on_the_coast_in_nearly_a_year._So,_he_went_to_investigate,_and_when_he_got_there,_the_house_was_gone;_burnt_to_the_ground._On_a_stone_near_the_ruin_was_scrawled_'VIVAT_AZI_DAHAKA'.
str_rumor_talk_snake_23 he_spoke_to_me_of_an_old_legend._It_seems_that_on_stormy_nights_in_the_old_country,_worshipers_of_Azi_Dahaka_would_creep_through_villages_in_search_of_little_girls_to_steal_away._They_would_take_them_off_to_their_lair_and_spend_years_turning_them_into_Snake_Priestesses.
str_rumor_talk_snake_24 he_saw_a_man_approach_a_cloaked_woman_in_a_secluded_doorway._Something_changed_hands,_and_the_woman_pulled_back_her_hood_and_blew_lightly_on_him._He_stiffened,_tried_to_turn_away,_and_fell_dead_at_her_feet!_She_gave_a_tight-lipped_smile,_raised_her_hood,_and_disappeared_into_the_alley.
str_rumor_talk_snake_25 he_said_he_went_to_a_tavern_out_in_Laria,_and_heard_that_the_Snake_Cult_has_been_seen_as_far_inland_as_Rebache!_If_they_get_a_foothold_in_Sarleon,_they_will_be_out_of_the_reach_of_old_Marius._Bet_that_will_stick_in_his_royal_craw!
str_rumor_talk_snake_26 he_saw_a_woman_and_her_wee_daughter_walking_in_the_marketplace._He_had_barely_looked_away_when_he_heard_a_scream._The_mother_was_standing_stiff_as_a_board,_blood_running_from_two_fang_marks_on_her_throat._The_babe_was_nowhere_to_be_seen.
str_rumor_talk_snake_27 he_told_me_he_had_overheard_the_Seneschal_talking_to_the_Sheriff._Turns_out,_two_Empire_vassal_lords_were_discovered_to_have_hidden_Snake_shrines_in_their_manors._After_all_the_work_the_Imperator_has_done,_to_find_something_like_this_now_must_be_crushing!
str_rumor_talk_snake_28 he_turned_to_me_and_said,_'Why_is_there_a_snake_charm_over_your_door?'_and_I_said�_I_said�_aaah�_We_are_looking_for_you,_{playername},_AND_WE_WILL_FIND_YOU!_�_Aah�_I_am_sorry._What_were_we_talking_about?
str_rumor_talk_snake_29 he_said_Marius_is_running_scared._The_Snake_Cult_has_been_on_the_rise,_and_nothing_the_Imperator_does_seems_to_stop_them._It_is_almost_like_they_know_his_plans_before_he_does._These_days,_Marius_is_accusing_everything_but_the_doorposts_of_spying.
str_rumor_talk_snake_30 he_heard_from_a_hunter_that_more_and_more_shrines_to_Azi_Dahaka_have_been_discovered_all_along_the_southern_coast._The_Snake_Cult_has_been_far_more_active_lately,_almost_as_if_they_are_preparing_for_something.
str_rumor_talk_snake_31 he_heard_from_a_ship_captain_that_Snake_Cult_relics_from_the_old_Empire_are_being_smuggled_into_Cez_in_record_numbers._Weapons_and_armor_from_the_old_country_are_pouring_in_as_well._Mark_my_words,_the_snakes_are_up_to_something_big.
str_rumor_talk_snake_32 he_said_he_was_walking_on_the_Ethos_road_a_few_weeks_back_and_found_the_remains_of_a_caravan._Its_erstwhile_guards_had_been_left_dead,_strewn_across_the_roadway._The_cargo_was_smashed,_but_had_not_been_looted._In_the_road_was_written_in_blood,_'AZI_DAHAKA_ADVENIO'.
str_rumor_talk_snake_33 he_said_that_the_last_caravan_he_guarded_was_attacked_by_snake_worshipers._Huge_men_in_green_armor_poured_from_the_forest_along_the_roadside._But,_when_all_seemed_lost,_the_knights_pulled_up_short._The_priestess_shouted,_'{playername}',_and_those_Snakes_just_melted_away.
str_rumor_talk_snake_34 he_told_me_of_a_legend_from_the_old_Baccus_Empire._Once,_long_ago,_agents_of_Azi_Dahaka_began_raiding_in_greater_numbers_than_ever_before._No_one_was_safe._Then,_a_mighty_warlord_rose_among_them_and_united_the_marauding_worshipers_into_a_vast_army._History_is_a_wheel,_my_friend._Be_careful.
str_rumor_talk_sing_1 he_was_told_the_Singalians_ancestors_are_part_D'Shar,_which_makes_them_distant_cousins_of_the_Jatu._They_all_came_from_the_Old_Empire_to_Pendor_as_mercenaries.
str_rumor_talk_sing_2 he_heard_that_Singalians_have_a_rigid_code_of_honor_which_forbids_retreat_from_battle,_and_also_involves_great_loss_of_personal_honor_should_their_leader_flee_from_battle.
str_rumor_talk_sing_3 he_heard_a_story_about_how_the_Singalians_got_their_name:_their_ancestors_came_as_mercenaries_from_far_away,_but_refused_to_settle_in_the_town_of_Singal._For_some_strange_reason_they_kept_the_name_to_remind_them_of_what_they_had_rejected.
str_rumor_talk_sing_4 he_said_that_the_Singalians_attack_by_stealth_from_the_deep_desert,_appearing_as_if_by_magic.
str_rumor_talk_sing_5 he_was_told_that,_despite_having_a_code_of_honor_which_demands_death_before_retreat,_Singalians_are_not_suicidal;_I_mean,_they_won't_give_their_lives_away_for_someone_they_perceive_as_unfit_to_die_for.
str_rumor_talk_sing_6 he_was_told_by_a_D'Shar_merchant_that_few_people_try_to_travel_into_the_depths_of_the_desert_where_the_Singalians_dwell._They_say_the_travel_is_just_to_risky,_and_too_many_get_lost_on_the_way.
str_rumor_talk_sing_7 he_heard_that_even_if_you_manage_to_find_a_Singalian_camp_in_the_desert,_there_is_still_the_problem_of_their_suspiciousness_of_strangers,_even_their_D'Shar_cousins.
str_rumor_talk_sing_8 he_heard_from_a_man_who_travelled_to_trade_with_the_Singalians_that_the_desert_where_they_roam_is_so_harsh_that_often_an_entire_clan_is_lost_to_a_sandstorm._Any_lucky_survivors_are_sometimes_accepted_into_another_clan,_so_long_as_there_is_no_blood_feud_between_the_clans.
str_rumor_talk_sing_9 he_was_told_that,_despite_the_harsh_conditions_of_the_desert,_the_Singalians_appear_to_truly_enjoy_riding_there_with_their_clanbrothers._They_know_how_to_survive_there_and_where_water_can_be_found._If_you_really_need_to_go_to_the_desert,_see_if_you_can_find_one_of_them_to_guide_you.
str_rumor_talk_sing_10 he_said_he_saw_a_merchant_making_plans_to_travel_into_the_desert_to_trade_with_the_Singalians._The_fellow_must_either_know_what_he_is_doing_or_be_crazy_-__no_one_knows_for_sure_where_exactly_in_the_desert_you_can_find_the_Singalians.
str_rumor_talk_sing_11 he_said_the_Singalians_navigate_the_desert_by_finding_markers_of_dead_men's_bones_left_by_the_vultures_and_the_tracks_of_desert_sand_snakes._No_one_really_knows_how_they_find_their_way_there.
str_rumor_talk_dshar_1 he_said_that_a_friend_of_his_told_him_those_worthless_tribal_D'Shar_are_all_stirred_up_by_some_religious_fanatic_out_of_the_deep_desert.
str_rumor_talk_dshar_2 he_said_that,_according_to_Torbah_rumor,_the_Bahadur_Khan_himself_beheaded_a_man_for_making_a_joke_about_an_invasion_from_the_deep_desert._I_guess_the_joke_was_on_him!
str_rumor_talk_dshar_3 he_said_that,_as_per_a_Singal_armor_merchant,_the_D'Shar_have_temporarily_ceased_their_regular_blood_feuds_on_direct_orders_of_the_Bahadur_Khan,_so_as_to_preserve_men_for_Pendor's_battles.
str_rumor_talk_dshar_4 he_heard_in_Sarleon_that_the_D'Shar_are_raiding_for_women_these_days,_because_they_apparently_do_not_have_enough_of_their_own_to_go_around._Can_you_believe_they_marry_multiple_wives?_Talk_about_tents_full_of_trouble!
str_rumor_talk_dshar_5 he_said_his_D'Shar_trading_partner_told_him_that_over_two_hundred_have_died_in_the_latest_Yusafzai_blood_feud,_despite_a_command_from_the_Bahadur_Khan_that_they_desist_immediately.
str_rumor_talk_dshar_6 he_said_that_a_wine_merchant_told_him_about_a_D'Shar_wedding_in_Singal_that_came_to_a_sad_end._The_wedding_was_meant_to_end_a_blood_feud,_but_it_broke_out_anew_at_the_feast_and_both_the_bride_and_groom_were_killed.
str_rumor_talk_dshar_7 he_said_that_at_D'Shar_weddings,_they_fire_arrows_into_the_air_and_invariably_some_of_the_guests_are_killed._Jokes_about_the_perils_of_weddings_are_standard_amongst_the_D'Shar.
str_rumor_talk_dshar_8 he_heard_a_rumor_about_some_renegade_fanatic_from_the_deep_desert_who_has_called_blood_feud_against_the_Bahadur_Khan_himself!
str_rumor_talk_dshar_9 he_heard_from_the_Captain_of_the_Guard_in_Ishkoman_that_the_Bahadur_Khan_has_ordered_increased_troops_and_vigilance_in_all_D'Shar_towns,_due_to_some_unspecified_threat.
str_rumor_talk_dshar_10 he_heard_a_rumor_that_the_Bahadur_Khan_sits_even_more_uneasily_on_his_throne_these_days,_because_a_renegade_sheik_has_promised_to_take_it_from_him.
str_rumor_talk_dshar_11 he_heard_that_the_talk_in_the_Torbah_taverns_is_all_about_some_fanatic_who_foams_at_the_mouth_and_falls_down_in_fits_of_holy_madness._He_has_converted_many_D'Shar_to_his_strange_religion_and_inspires_absolute_loyalty.
str_rumor_talk_dshar_12 he_was_talking_to_an_Ishkoman_horse_trader,_who_says_he_lost_half_his_men_and_his_entire_string_to_another_pack_of_raiders._The_Pathani_are_reputedly_the_worst_horse_thieves_in_the_plains.
str_rumor_talk_dshar_13 he_was_told_that_an_entire_D'Shar_camp_now_stands_empty,_and_no_one_knows_what_became_of_the_people_there._They_simply_disappeared.
str_rumor_talk_dshar_14 he_heard_a_funny_story!_The_Bahadur_Khan_just_took_another_wife,_and_his_first_wife_is_furious!_She_wanted_him_to_marry_her_younger_sister_instead._Talk_about_a_glutton_for_punishment!
str_rumor_talk_dshar_15 he_heard_that_the_D'Shar_prize_black_horses_so_highly_because_their_god,_Indar,_manifests_as_a_beautiful_black_stallion,_swift_as_the_wind.
str_rumor_talk_dshar_16 he_overheard_a_Legionnaire_say_that_the_Turkmani_raiders_are_giving_the_Empire_a_terrible_time,_just_now._The_Legionnaires_are_fit_to_be_tied,_because_they_cannot_catch_them.
str_rumor_talk_dshar_17 he_overheard_in_the_Singal_tavern_that_a_D'Shar_renegade,_Sheik_Salivate,_or_something_like_that,_is_raising_hell_in_the_D'Shar_Territories_these_days.
str_rumor_talk_dshar_18 he_heard_a_rumor_that_Sheik_Shalavan_feeds_some_kind_of_drug_to_his_followers_that_makes_them_fight_fiercely._It_is_said_that_he_denies_them_the_drug_before_battle_and_tells_them_they_will_get_no_more_unless_they_win.
str_rumor_talk_dshar_19 he_said_that_there_is_talk_in_the_marketplace_that_someone_needs_to_do_something_about_the_incessant_D'Shar_raids._There_are_several_tribes_now_that_do_nothing_but_steal_goods_from_others_and_capture_their_women._They_produce_nothing_but_bloodshed.
str_rumor_talk_dshar_20 he_heard_that_in_the_Singal_market,_the_traders_complain_that_they_need_the_escort_of_an_army_just_to_get_to_Torbah,_the_cursed_Raiders_have_gotten_so_outrageous.
str_rumor_talki_jatu_1 he_said_that_he_met_a_Caravan_Master_who_had_been_raided_by_the_Jatu._The_merchant_was_astounded_that_boys_as_young_as_twelve_are_part_of_their_army._Imagine_making_children_into_soldiers!
str_rumor_talki_jatu_2 he_says_that_a_Jatu_tribal_warrior_told_him_that_someone_named_Zulkar_is_uniting_all_the_Jatu_under_one_banner,_with_the_intention_of_taking_Sarleon.
str_rumor_talki_jatu_3 he_said_that_an_innkeeper_in_Laria_told_him_that_Jatu_incursions_are_increasing._They_have_wiped_out_militia_patrols_from_Laria_several_times.
str_rumor_talki_jatu_4 he_heard_from_a_man_who_trades_with_the_Jatu,_that_all_the_women_taken_in_their_raids_end_up_in_concubinage,_bearing_child_after_child_for_the_Jatu_horselords.
str_rumor_talki_jatu_5 he_said_that_talk_in_the_Poinsbruk_tavern_is_that_if_something_is_not_done_about_Warlord_Zulkar,_he_will_be_pitching_his_tent_in_the_Poinsbruk_town_square_in_no_time.
str_rumor_talki_jatu_6 he_heard_a_Jatu_Lancer_claim_that_their_god,_Vata,_joins_in_their_battles,_and_shoots_in_the_back_any_he_thinks_are_trying_to_desert._Only_the_Jatu_would_choose_that_git_for_a_god.
str_rumor_talki_jatu_7 he_heard_from_a_Jatu_slave_en_route_to_the_salt_mines_that_the_Jatu_test_their_young_boys_for_strength_and_courage_and_kill_those_they_deem_weak_or_cowardly.
str_rumor_talki_jatu_8 he_heard_several_times_in_Laria_that_the_only_good_thing_about_K'Juda_the_Ravager_is_his_predilection_for_killing_Noldor.
str_rumor_talki_jatu_9 he_met_a_man_named_Ambrose_who_trades_with_the_Jatu._His_impression_is_that_not_all_the_Jatu_want_to_follow_K'Juda,_but_he_is_forcing_them_to_ally_with_him.
str_rumor_talki_jatu_10 he_met_a_trader,_ashen-pale_and_trembling,_who_was_drinking_heavily_in_the_Poinsbruk_tavern._He_says_he_found_the_bodies_of_some_militia_who_had_been_tortured_to_death_by_K'Juda,_that_Jatu_Warlord.
str_rumor_talki_jatu_11 he_said_that_Liam,_a_friend_of_his_who_collects_Noldor_artifacts,_says_that_although_the_Noldor_hate_Warlord_Zulkar,_they_seem_to_grudgingly_respect_his_battle_prowess_and_honorable_behavior.
str_rumor_talki_jatu_12 he_heard_from_a_captured_Jatu_that_K'Juda_mounts_Noldor_heads_on_poles_outside_his_tent_and_has_a_veritable_forest_of_them_on_display.
str_rumor_talki_jatu_13 he_said_the_he_spoke_with_a_peddler,_whom_he_was_quite_sure_was_a_disguised_Jatu._He_casually_mentioned_a_new_warlord,_Zulkar,_who_is_very_strong_and_gaining_great_influence_amongst_the_Jatu.
str_rumor_talki_jatu_14 he_heard_from_a_Laria_trader_that_the_Jatu_are_raiding_more_heavily_for_women,_by_order_of_K'Juda._He_wants_to_breed_more_soldiers_for_his_army.
str_rumor_talki_jatu_15 he_overheard_a_Ravenstern_seneschal,_who_was_drunk_in_the_tavern,_claim_the_King_soils_his_armor_at_the_mere_thought_of_taking_on_K'Juda_the_Ravager_and_his_army._And_this_despite_their_increased_raids_near_Poinsbruk.
str_rumor_talki_jatu_16 he_says_the_D'Shar_historians_claim_the_Jatu_are_cousins_of_the_D'Shar_tribes._Centuries_ago,_the_D'Shar_tribes_migrated_to_Pendor_from_the_great_Kashanar_Plains,_far_across_the_sea,_a_place_now_claimed_by_the_Jatuzin.
str_rumor_talki_jatu_17 he_said_the_word_in_Sarleon_is_that_King_Ulric_is_worried_about_an_invasion_from_Warlord_Zulkar_and_his_Jatu,_since_his_armies_are_already_overtaxed_dealing_with_his_other_aggressive_neighbors.
str_rumor_talki_jatu_18 he_said_that_the_Sarleon_knights_hold_Warlord_Zulkar_in_high_esteem_for_his_many_acts_of_honor_and_bravery._Very_few_would_care_to_cross_lances_with_him,_however.
str_rumor_talki_jatu_19 he_said_that_the_latest_word_from_Laria_is_that_K'Juda_the_Ravager_leaves_scrolls,_pinned_by_javelins_to_Noldor_corpses,_stating_that_all_Noldor_will_die_similarly_at_his_hands._I_almost_pity_the_Noldor!
str_rumor_talki_jatu_20 he_said_the_abbot_of_Poinsbruk_preaches_that_all_who_take_up_the_fight_against_the_invading_Jatu_are_under_the_protection_of_UllrVetr.
str_rumor_talki_heretics_1 he_heard_from_a_Barclay_trader,_whom_he_met_in_Javiksholm,_that_they_burn_Heretics_at_the_stake_there._Some_of_them_are_reputed_to_be_Knights_of_the_Dawn_gone_bad!
str_rumor_talki_heretics_2 he_said_that_a_Fierdsvain_abbot_told_him_that_the_Heretic_goddess,_Erida_Occisor,_grows_in_power_with_every_human_sacrifice_given_her_by_her_priests.
str_rumor_talki_heretics_3 he_saw_a_man_who_was_unmistakably_a_Heretic_priest._He_briefly_spoke_to_a_couple_of_urchins,_handed_them_some_coins_and_the_urchins_promptly_scarpered_off.
str_rumor_talki_heretics_4 he_was_told_by_a_prisoner,_a_Vanskerry_Raider,_that_the_Heretics_are_terrifying_the_whole_Fierdsvain._They_are_taking_peasants_from_all_the_villages_and_sacrificing_them_to_their_Dark_Goddess.
str_rumor_talki_heretics_5 he_said_that_a_Nal_Tar_horse_merchant_told_him_that_he_found_a_dying_Turkmani_on_the_way_here._He_was_missing_an_arm,_and_lay_dying._He_said_something_called_Eyegrim_the_Devourer_had_ripped_off_his_arm_and_eaten_it_before_his_very_eyes!
str_rumor_talki_heretics_6 he_said_he_had_talked_on_the_road_with_a_wandering_traveller,_who_told_him_that_the_Knights_of_the_Dawn_have_dispatched_a_Paladin_to_Pendor_to_help_fight_the_Heretics._He_is_reputed_to_be_a_formidable_fighter.
str_rumor_talki_heretics_7 he_heard_from_a_farmer_in_the_Fierdsvain_that_they_have_to_guard_their_graveyards_now,_so_the_Heretics_do_not_raise_their_buried_relatives_to_swell_their_numbers.
str_rumor_talki_heretics_8 he_came_across_two_women,_one_of_whom_was_in_shock_and_seemed_oblivious_to_her_surroundings._The_other_one_told_him_that_a_Knight_of_the_Dawn_had_rescued_them_from_a_horrible_fate_at_the_hands_of_Death_Worshipers.
str_rumor_talki_heretics_9 he_heard_two_sellswords_complaining_that_the_Heretics_have_demons_amongst_them,_which_are_almost_impossible_to_kill._They_are_filthy_undead_things,_with_decaying_faces._One_said_to_the_other_that_he_could_smell_them_well_before_he_saw_them._How_revolting!
str_rumor_talki_heretics_10 he_heard_from_a_merchant_that_the_corpses_he_saw_on_the_road_to_Janos_had_been_gnawed_and_the_marrow_sucked_right_out_of_the_bones._The_Koningur_is_trying_to_quash_the_rumor,_but_it_is_all_over_the_markets_now.
str_rumor_talki_heretics_11 he_overheard_a_merchant_in_the_Windholm_market_say_that_a_Heretic_Confessor_had_been_seen_outside_the_city_gates._The_confessor_was_offering_a_reward_for_knowledge_of_the_whereabouts_of_one_{playername}.
str_rumor_talki_heretics_12 he_overheard_talk_between_an_ugly_old_woman,_probably_the_madam_of_a_brothel,_and_a_hooded_man,_who_was_most_likely_a_Heretic_Priest._He_told_the_old_bird_she_had_best_come_up_with_more_girls_for_the_Solstice_sacrifices,_or_she_would_assuredly_regret_it.
str_rumor_talki_heretics_13 he_heard_from_one_of_the_caravan_guards,_in_the_alley_behind_the_market,_that_the_Heretics_have_just_killed_another_Caravan_Master,_and_taken_his_guards_and_apprentices_for_sacrifice._One_lucky_apprentice_managed_to_get_away_and_reported_the_ambush.
str_rumor_talki_heretics_14 he_heard_from_a_Barclay_historian,_currently_lecturing_in_the_Abbey_at_Valonbray,_that_the_Heretics_were_originally_saintly_priests,_until_they_were_lured_into_worship_of_the_Dark_Goddess._They_are_spreading_all_over_Pendor_now,_and_a_certain_danger_to_all_travelers.
str_rumor_talki_heretics_15 he_heard_from_a_farmer_in_the_Valonbray_market_that_the_Heretic_goddess_has_our_poor_Thallo_Ver_Shures_on_the_run._Pity,_she_is_a_kind_little_goddess,_for_all_she_runs_starkers_through_the_fields_waving_flowers.
str_rumor_talki_heretics_16 he_swears_the_Heretics_have_portable_altars,_so_they_can_instantly_sacrifice_their_captives_on_the_spot!_What_is_Pendor_coming_to,_that_murdering_perverts_like_the_Heretics_roam_free,_killing_at_will?!
str_rumor_talki_heretics_17 he_heard_about_a_group_of_Fierdsvain_Maiden_Cavalry_partying_in_the_Javiksholm_tavern._The_innkeeper_told_him_he_overheard_them_say_that_the_Heretics_are_ferocious_fighters,_though_they_fill_their_ranks_with_outcasts_and_other_rabble._The_lassies_seemed_a_mite_fearful,_which_surprised_him.
str_rumor_talki_heretics_18 he_said_that_one_of_the_wharf_traders,_an_old_friend_of_his,_is_bemoaning_the_fact_that_his_business_is_down,_because_the_Barclay_traders_do_not_come_so_often_to_Pendor_these_days._He_says_they_are_afraid_of_those_roving_bands_of_Heretics.
str_rumor_talki_heretics_19 he_said_that_the_innkeeper_in_Valonbray_overheard_a_thinly-disguised_Heretic_priest_say_that_he_was_most_annoyed_at_the_number_of_potential_sacrifices_killed_fighting,_rather_than_merely_stunned_by_his_men._He_threatened_to_sacrifice_his_own_men_if_they_do_not_do_better.
str_rumor_talki_heretics_20 he_said_that_he_ran_into_a_Squire_in_service_to_a_Knight_of_the_Dawn._The_Squire_confessed_that_he_wept_at_their_discovery_of_the_bodies_of_dozens_of_young_girls,_lying_next_to_a_Heretic_altar._Their_hearts_had_been_torn_from_their_breasts._He_and_the_Knight_hunted_down_and_slew_every_last_one_of_the_evil_perpetrators,_but_he_still_has_nightmares_about_the_girls.
str_rumor_talki_heretics_21 he_saw_a_Heretic_Confessor_threatening_a_hooded_man_in_the_alley_behind_the_castle._He_said_the_man_was_so_affrighted_that_he_pissed_himself,_all_the_while_bowing,_scraping_and_pleading_for_another_chance._
str_rumor_talki_heretics_22 he_heard_that_the_Windholm_armorer_is_turning_a_pretty_penny_making_armor_for_the_Heretics_on_the_sly._It_is_also_rumored_he_gave_that_nagging_wife_of_his_to_them_for_sacrifice,_as_she_has_not_been_seen_for_some_weeks.
str_rumor_talki_heretics_23 he_overheard_a_terrified_woman,_pleading_frantically_with_the_city_guards_for_help_in_finding_her_teenage_daughter._Her_daughter_was_friends_with_three_boys_who_were_rumored_to_belong_to_some_sort_of_coven._All_of_them_had_disappeared_without_a_trace.
str_rumor_talki_heretics_24 he_said_that_he_overheard_an_armsman_talking_about_a_battle_his_troop_fought_with_the_Heretics._He_said_that_some_of_them_were_as_skilled_as_any_Knight_he_had_seen_in_a_tournament.
str_rumor_talki_heretics_25 he_saw_two_men,_in_skull-emblazoned_livery,_sneak_over_the_castle_walls,_dragging_a_bound_man_with_a_sack_over_his_head._Before_he_could_raise_an_alarm,_the_two_Heretics_had_fled.
str_rumor_talki_vanskerry_1 he_heard_one_of_the_Fierdsvain_Lords_say_that_the_Vanskerries_want_the_Lords_to_join_them_in_overpowering_Pendor._My_opinion_is_that_the_Lords_have_grown_too_soft_for_that.
str_rumor_talki_vanskerry_2 he_said_a_trader_friend_of_ours,_Gunnar_of_Valonbray,_says_his_cousin,_a_Vanskerry_Raider_currently_locked_in_the_local_dungeon,_claims_a_powerful_Vanskerry_Jarl_plans_to_bring_a_large_army_into_Pendor.
str_rumor_talki_vanskerry_3 he_said_he_was_looking_to_buy_some_slaves_from_Ramun_and_heard_from_one_Vanskerry_galley_slave_that_the_Vanskerry_Raiders_think_Pendor_is_ripe_for_the_picking.
str_rumor_talki_vanskerry_4 he_heard_a_merchant_from_Windholm_say_that_after_he_finished_his_business_in_the_market,_he_took_a_short_cut_through_an_alley,_and_observed_a_tall,_blonde_man,_obviously_a_Vanskerry_Jarl,_threatening_the_Valonbray_horse_merchant_with_death,_if_he_did_not_produce_better_details_about_Valonbray's_defenses.
str_rumor_talki_vanskerry_5 he_said_that_local_rumor_has_it_that_a_cousin_to_Inar_Hairybreeks,_son_of_his_own_old_auntie,_is_amongst_the_latest_Vanskerry_Raiders_captured._He_is_trying_to_persuade_the_Koningur_to_release_him._He_will_not_have_much_luck_there!
str_rumor_talki_vanskerry_6 he_heard_in_the_Windholm_market_that_the_Vanskerry_raids_are_on_the_increase_because_the_Pendor_pickings_are_so_profitable_for_the_Raiders._They_raided_Jayek_again_yesterday.
str_rumor_talki_vanskerry_7 he_said_his_informant_overheard_some_Barclay_merchants_talking_in_Windholm._They_say_their_profits_are_down_considerably_because_the_caravans_coming_to_Windholm_from_Ravenstern_get_raided_too_often_and_they_cannot_get_enough_goods.
str_rumor_talki_vanskerry_8 he_heard_some_farmers_complaining_over_their_ale_in_the_Valonbray_tavern._They_say_it_simply_is_not_worth_farming_these_days,_what_with_raids_taking_all_their_harvested_crops_before_they_can_get_them_to_market.
str_rumor_talki_vanskerry_9 he_heard_the_lord_say_that,_if_rumor_does_not_lie,_all_the_Fierdsvain_towns_have_been_infiltrated_by_Vanskerry_agents_posing_as_Fierdsvain_merchants!_Unbelievable!
str_rumor_talki_vanskerry_10 he_said_the_foreign_Jarls_claim_that_all_the_Fierdsvain_belongs_in_truth_to_Vanskerry,_and_should_be_under_their_rule,_since_it_was_conquered_and_settled_by_Vanskerry_Raiders.
